###############################################################
#  Generated by:      Cadence Innovus 21.10-p004_1
#  OS:                Linux x86_64(Host ID vlsicadclient13)
#  Generated on:      Fri Jul 21 15:46:30 2023
#  Design:            NTTN
#  Command:           report_timing > timing_postRoute.txt
###############################################################
Path 1: MET Setup Check with Pin NTT2_GEN_BLOCK[1].nttu/MULin1_reg[31]/CK 
Endpoint:   NTT2_GEN_BLOCK[1].nttu/MULin1_reg[31]/D (^) checked with  leading 
edge of 'clk'
Beginpoint: NTTin_reg[2][0]/Q                       (^) triggered by  leading 
edge of 'clk'
Path Groups: {clk}
Analysis View: setup
Other End Arrival Time         -0.022
- Setup                         0.147
+ Phase Shift                  10.000
= Required Time                 9.831
- Arrival Time                  8.138
= Slack Time                    1.693
     Clock Rise Edge                 0.000
     + Clock Network Latency (Prop)  0.024
     = Beginpoint Arrival Time       0.024
     +-------------------------------------------------------------------------------------------------------------+ 
     |                      Instance                      |      Arc      |   Cell    | Delay | Arrival | Required | 
     |                                                    |               |           |       |  Time   |   Time   | 
     |----------------------------------------------------+---------------+-----------+-------+---------+----------| 
     | NTTin_reg[2][0]                                    | CK ^          |           |       |   0.024 |    0.159 | 
     | NTTin_reg[2][0]                                    | CK ^ -> Q ^   | SDFFRHQX2 | 0.310 |   0.334 |    0.469 | 
     | NTT2_GEN_BLOCK[1].nttu/sub_40_26_g2681             | AN ^ -> Y ^   | NAND2BX4  | 0.104 |   0.438 |    0.573 | 
     | NTT2_GEN_BLOCK[1].nttu/sub_40_26_g2679             | CI ^ -> CO ^  | ADDFHX1   | 0.185 |   0.622 |    0.758 | 
     | NTT2_GEN_BLOCK[1].nttu/sub_40_26_g2678             | A ^ -> CO ^   | ADDFHX1   | 0.224 |   0.846 |    0.982 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_4218_0                | B ^ -> Y v    | NAND2BX2  | 0.085 |   0.931 |    1.067 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_4217_0                | B v -> Y ^    | NAND2X2   | 0.063 |   0.994 |    1.130 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_4017_0                | B ^ -> Y v    | NAND2BX2  | 0.094 |   1.089 |    1.224 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_4016_0                | B v -> Y ^    | NAND2X4   | 0.073 |   1.162 |    1.297 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3751_0                | B ^ -> Y v    | NAND2BX4  | 0.077 |   1.239 |    1.375 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3750_0                | B v -> Y ^    | NAND2X6   | 0.053 |   1.292 |    1.427 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3851_0                | B ^ -> Y v    | NAND2BX4  | 0.073 |   1.365 |    1.500 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3850_0                | B v -> Y ^    | NAND2X4   | 0.049 |   1.414 |    1.549 | 
     | NTT2_GEN_BLOCK[1].nttu/sub_40_26_g2673             | A ^ -> CO ^   | ADDFHX1   | 0.198 |   1.612 |    1.747 | 
     | NTT2_GEN_BLOCK[1].nttu/sub_40_26_g2672             | A ^ -> CO ^   | ADDFHX1   | 0.211 |   1.823 |    1.958 | 
     | NTT2_GEN_BLOCK[1].nttu/sub_40_26_g2671             | CI ^ -> CO ^  | ADDFHX1   | 0.195 |   2.018 |    2.154 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3520_0                | B ^ -> Y v    | NAND2BX2  | 0.090 |   2.108 |    2.244 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3518_0                | B v -> Y ^    | NAND2BX4  | 0.068 |   2.176 |    2.311 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3293_0                | B ^ -> Y v    | NAND2BX4  | 0.067 |   2.242 |    2.378 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3292_0                | B v -> Y ^    | NAND2X4   | 0.051 |   2.294 |    2.429 | 
