============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jun 27 2023  07:16:16 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                        Module                 Cell Count   Cell Area  Net Area   Total Area   Wireload  
--------------------------------------------------------------------------------------------------------------------------
NTTN                                                                402255 1863239.598     0.000  1863239.598 <none> (D)  
  BRAM_GEN_BLOCK[7].bt00  BRAM_DLEN30_HLEN10_7                       16433   73453.392     0.000    73453.392 <none> (D)  
  BRAM_GEN_BLOCK[3].bt00  BRAM_DLEN30_HLEN10_3                       16402   73420.560     0.000    73420.560 <none> (D)  
  BRAM_GEN_BLOCK[0].bt00  BRAM_DLEN30_HLEN10                         16405   73416.114     0.000    73416.114 <none> (D)  
  BRAM_GEN_BLOCK[6].bd01  BRAM_DLEN30_HLEN8_13                       13632   68967.378     0.000    68967.378 <none> (D)  
  BRAM_GEN_BLOCK[4].bd01  BRAM_DLEN30_HLEN8_9                        13632   68967.378     0.000    68967.378 <none> (D)  
  BRAM_GEN_BLOCK[7].bd01  BRAM_DLEN30_HLEN8_15                       13843   69224.562     0.000    69224.562 <none> (D)  
  BRAM_GEN_BLOCK[0].bd01  BRAM_DLEN30_HLEN8_1                        13603   69080.922     0.000    69080.922 <none> (D)  
  BRAM_GEN_BLOCK[7].bd00  BRAM_DLEN30_HLEN8_14                       13603   69080.922     0.000    69080.922 <none> (D)  
  BRAM_GEN_BLOCK[5].bd00  BRAM_DLEN30_HLEN8_10                       13648   68976.954     0.000    68976.954 <none> (D)  
  BRAM_GEN_BLOCK[4].bd00  BRAM_DLEN30_HLEN8_8                        13872   69111.018     0.000    69111.018 <none> (D)  
  BRAM_GEN_BLOCK[3].bd00  BRAM_DLEN30_HLEN8_6                        13907   69454.728     0.000    69454.728 <none> (D)  
  BRAM_GEN_BLOCK[2].bd00  BRAM_DLEN30_HLEN8_4                        13872   69111.018     0.000    69111.018 <none> (D)  
  BRAM_GEN_BLOCK[0].bd00  BRAM_DLEN30_HLEN8                          13951   69532.704     0.000    69532.704 <none> (D)  
  BRAM_GEN_BLOCK[1].bt00  BRAM_DLEN30_HLEN10_1                       16240   73416.114     0.000    73416.114 <none> (D)  
  BRAM_GEN_BLOCK[5].bt00  BRAM_DLEN30_HLEN10_5                       16289   73249.218     0.000    73249.218 <none> (D)  
  BRAM_GEN_BLOCK[2].bt00  BRAM_DLEN30_HLEN10_2                       16452   73389.780     0.000    73389.780 <none> (D)  
  NTT2_GEN_BLOCK[0].nttu  NTT2                                        5217   17251.848     0.000    17251.848 <none> (D)  
    mm                    ModMult                                     4462   13781.916     0.000    13781.916 <none> (D)  
      im                  intMult                                     2235    7004.160     0.000     7004.160 <none> (D)  
        CSA_LOOP[0].csau  CSA                                           30     134.748     0.000      134.748 <none> (D)  
          FA_LOOP[16].fau FA_1019                                        1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_17                                          1       5.130     0.000        5.130 <none> (D)  
