============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 17 2023  08:26:43 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                           Module                   Cell Count   Cell Area  Net Area   Total Area   Wireload  
-------------------------------------------------------------------------------------------------------------------------------
NTTN                                                                     409515 1948264.902     0.000  1948264.902 <none> (D)  
  BRAM_GEN_BLOCK[3].bd01  BRAM_DLEN32_HLEN8_7                             14469   73631.574     0.000    73631.574 <none> (D)  
  BRAM_GEN_BLOCK[3].bd00  BRAM_DLEN32_HLEN8_6                             14469   73631.574     0.000    73631.574 <none> (D)  
  BRAM_GEN_BLOCK[2].bd00  BRAM_DLEN32_HLEN8_4                             14693   73765.638     0.000    73765.638 <none> (D)  
  BRAM_GEN_BLOCK[7].bd00  BRAM_DLEN32_HLEN8_14                            14501   73650.726     0.000    73650.726 <none> (D)  
  BRAM_GEN_BLOCK[0].bd00  BRAM_DLEN32_HLEN8                               14469   73631.574     0.000    73631.574 <none> (D)  
  BRAM_GEN_BLOCK[4].bd00  BRAM_DLEN32_HLEN8_8                             14721   73652.436     0.000    73652.436 <none> (D)  
  BRAM_GEN_BLOCK[1].bd01  BRAM_DLEN32_HLEN8_3                             14497   73518.372     0.000    73518.372 <none> (D)  
  BRAM_GEN_BLOCK[1].bd00  BRAM_DLEN32_HLEN8_2                             14721   73652.436     0.000    73652.436 <none> (D)  
  NTT2_GEN_BLOCK[1].nttu  NTT2_1                                           3939   14533.974     0.000    14533.974 <none> (D)  
    mm                    ModMult_1                                        3095   10495.980     0.000    10495.980 <none> (D)  
      im                  intMult_1                                        2337    7473.726     0.000     7473.726 <none> (D)  
        CSA_LOOP[0].csau  CSA_2                                              32     142.272     0.000      142.272 <none> (D)  
          FA_LOOP[16].fau FA_144                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_145                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[18].fau FA_146                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[19].fau FA_147                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[20].fau FA_148                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[21].fau FA_149                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[22].fau FA_150                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[23].fau FA_151                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[24].fau FA_152                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[25].fau FA_153                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[26].fau FA_154                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[27].fau FA_155                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[28].fau FA_156                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[29].fau FA_157                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[30].fau FA_158                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[31].fau FA_159                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[32].fau FA_95                                               1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[33].fau FA_161                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[34].fau FA_162                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[35].fau FA_163                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[36].fau FA_164                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[37].fau FA_165                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[38].fau FA_166                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[39].fau FA_167                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[40].fau FA_168                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[41].fau FA_169                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[42].fau FA_170                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[43].fau FA_171                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[44].fau FA_172                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[45].fau FA_173                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[46].fau FA_174                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[47].fau FA_175                                              1       3.762     0.000        3.762 <none> (D)  
        CSA_LOOP[1].csau  CSA_3                                              32     142.272     0.000      142.272 <none> (D)  
          FA_LOOP[17].fau FA_209                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[18].fau FA_210                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[19].fau FA_211                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[20].fau FA_212                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[21].fau FA_213                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[22].fau FA_214                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[23].fau FA_215                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[24].fau FA_216                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[25].fau FA_217                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[26].fau FA_218                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[27].fau FA_219                                              1       3.762     0.000        3.762 <none> (D)  
