============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 18 2023  10:24:39 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                          Module                  Cell Count   Cell Area  Net Area   Total Area   Wireload  
-----------------------------------------------------------------------------------------------------------------------------
NTTN                                                                   407920 1897370.514     0.000  1897370.514 <none> (D)  
  BRAM_GEN_BLOCK[0].bd00  BRAM_DLEN32_HLEN9                             29541  148265.892     0.000   148265.892 <none> (D)  
  BRAM_GEN_BLOCK[3].bd00  BRAM_DLEN32_HLEN9_6                           29541  148265.892     0.000   148265.892 <none> (D)  
  BRAM_GEN_BLOCK[2].bd00  BRAM_DLEN32_HLEN9_4                           29541  148265.892     0.000   148265.892 <none> (D)  
  BRAM_GEN_BLOCK[0].bd01  BRAM_DLEN32_HLEN9_1                           29542  148122.252     0.000   148122.252 <none> (D)  
  BRAM_GEN_BLOCK[2].bd01  BRAM_DLEN32_HLEN9_5                           29541  148267.944     0.000   148267.944 <none> (D)  
  ag                      AddressGenerator                               1218    5845.122     0.000     5845.122 <none> (D)  
    sr00                  ShiftReg_SHIFT1_DATA10                           11      62.244     0.000       62.244 <none> (D)  
    sr01                  ShiftReg_SHIFT17_DATA9                          137     837.900     0.000      837.900 <none> (D)  
    sr02                  ShiftReg_SHIFT18_DATA9                          163     997.956     0.000      997.956 <none> (D)  
    sr03                  ShiftReg_SHIFT17_DATA1                           18     105.336     0.000      105.336 <none> (D)  
    sr04                  ShiftReg_SHIFT18_DATA1                           19     111.492     0.000      111.492 <none> (D)  
    sr05                  ShiftReg_SHIFT17_DATA1_1                         18     105.336     0.000      105.336 <none> (D)  
    sr06                  ShiftReg_SHIFT18_DATA1_1                         19     111.492     0.000      111.492 <none> (D)  
    sr07                  ShiftReg_SHIFT17_DATA1_2                         18     105.336     0.000      105.336 <none> (D)  
    sr08                  ShiftReg_SHIFT18_DATA1_2                         19     111.492     0.000      111.492 <none> (D)  
    sr09                  ShiftReg_SHIFT18_DATA5                           73     443.916     0.000      443.916 <none> (D)  
    sr10                  ShiftReg_SHIFT17_DATA24                         273    1675.116     0.000     1675.116 <none> (D)  
    sr11                  ShiftReg_SHIFT4_DATA1                             5      25.308     0.000       25.308 <none> (D)  
  sr00                    ShiftReg_SHIFT16_DATA13                         113     690.156     0.000      690.156 <none> (D)  
  sr01                    ShiftReg_SHIFT16_DATA7                           97     591.660     0.000      591.660 <none> (D)  
  NTT2_GEN_BLOCK[0].nttu  NTT2                                           4224   16024.752     0.000    16024.752 <none> (D)  
    mm                    ModMult                                        3372   11959.056     0.000    11959.056 <none> (D)  
      im                  intMult                                        2337    7473.726     0.000     7473.726 <none> (D)  
        CSA_LOOP[0].csau  CSA                                              32     142.272     0.000      142.272 <none> (D)  
          FA_LOOP[16].fau FA_511                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_17                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[18].fau FA_18                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[19].fau FA_19                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[20].fau FA_20                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[21].fau FA_21                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[22].fau FA_22                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[23].fau FA_23                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[24].fau FA_24                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[25].fau FA_25                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[26].fau FA_26                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[27].fau FA_27                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[28].fau FA_28                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[29].fau FA_29                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[30].fau FA_30                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[31].fau FA_31                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[32].fau FA_479                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[33].fau FA_33                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[34].fau FA_34                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[35].fau FA_35                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[36].fau FA_36                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[37].fau FA_37                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[38].fau FA_38                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[39].fau FA_39                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[40].fau FA_40                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[41].fau FA_41                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[42].fau FA_42                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[43].fau FA_43                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[44].fau FA_44                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[45].fau FA_45                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[46].fau FA_46                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[47].fau FA_47                                             1       3.762     0.000        3.762 <none> (D)  
        CSA_LOOP[1].csau  CSA_7                                            32     142.272     0.000      142.272 <none> (D)  
          FA_LOOP[17].fau FA_81                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[18].fau FA_82                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[19].fau FA_83                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[20].fau FA_84                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[21].fau FA_85                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[22].fau FA_86                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[23].fau FA_87                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[24].fau FA_88                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[25].fau FA_89                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[26].fau FA_90                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[27].fau FA_91                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[28].fau FA_92                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[29].fau FA_93                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[30].fau FA_94                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[31].fau FA_32                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[32].fau FA_96                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[33].fau FA_97                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[34].fau FA_98                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[35].fau FA_99                                             1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[36].fau FA_100                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[37].fau FA_101                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[38].fau FA_102                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[39].fau FA_103                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[40].fau FA_104                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[41].fau FA_105                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[42].fau FA_106                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[43].fau FA_107                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[44].fau FA_108                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[45].fau FA_109                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[46].fau FA_110                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[47].fau FA_111                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[48].fau FA_112                                            1       3.762     0.000        3.762 <none> (D)  
      mr                  ModRed                                         1035    4485.330     0.000     4485.330 <none> (D)  
        genblk1[0].mrs    ka_ModRed_sub_CURR_DATA64_NEXT_DATA55           281    1220.256     0.000     1220.256 <none> (D)  
          qH_mul_T2       ka_wI32_wO64                                     44      64.296     0.000       64.296 <none> (D)  
        genblk1[1].mrs    ka_ModRed_sub_CURR_DATA55_NEXT_DATA46           245    1078.668     0.000     1078.668 <none> (D)  
          qH_mul_T2       ka_wI32_wO64_1                                   44      64.296     0.000       64.296 <none> (D)  
        genblk1[2].mrs    ka_ModRed_sub_CURR_DATA46_NEXT_DATA37           211     928.530     0.000      928.530 <none> (D)  
          qH_mul_T2       ka_wI32_wO64_2                                   43      62.928     0.000       62.928 <none> (D)  
        mrsl              ka_ModRed_sub_CURR_DATA37_NEXT_DATA34           196     805.068     0.000      805.068 <none> (D)  
          qH_mul_T2       ka_wI32_wO64_3                                   40      58.824     0.000       58.824 <none> (D)  
    unit00                ShiftReg_SHIFT12_DATA32                         385    2364.588     0.000     2364.588 <none> (D)  
  NTT2_GEN_BLOCK[1].nttu  NTT2_1                                         4239   16011.072     0.000    16011.072 <none> (D)  
    mm                    ModMult_1                                      3372   11959.056     0.000    11959.056 <none> (D)  
      im                  intMult_1                                      2337    7473.726     0.000     7473.726 <none> (D)  
        CSA_LOOP[0].csau  CSA_2                                            32     142.272     0.000      142.272 <none> (D)  
          FA_LOOP[16].fau FA_144                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_145                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[18].fau FA_146                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[19].fau FA_147                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[20].fau FA_148                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[21].fau FA_149                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[22].fau FA_150                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[23].fau FA_151                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[24].fau FA_152                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[25].fau FA_153                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[26].fau FA_154                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[27].fau FA_155                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[28].fau FA_156                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[29].fau FA_157                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[30].fau FA_158                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[31].fau FA_159                                            1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[32].fau FA_95                                             1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[33].fau FA_161                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[34].fau FA_162                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[35].fau FA_163                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[36].fau FA_164                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[37].fau FA_165                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[38].fau FA_166                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[39].fau FA_167                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[40].fau FA_168                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[41].fau FA_169                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[42].fau FA_170                                            1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[43].fau FA_171                                            1       3.762     0.000        3.762 <none> (D)  
