============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 26 2023  02:42:43 pm
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                     Module                 Cell Count  Cell Area  Net Area   Total Area   Wireload  
-----------------------------------------------------------------------------------------------------------------
ModRed                                                        6664  18594.540     0.000    18594.540 <none> (D)  
  genblk1[0].mrs ka_ModRed_sub_CURR_DATA64_NEXT_DATA55        1724   4979.178     0.000     4979.178 <none> (D)  
    qH_mul_T2    ka_wI32_wO64                                 1480   3653.586     0.000     3653.586 <none> (D)  
      i1         ka_16x16                                      144    396.036     0.000      396.036 <none> (D)  
        i2       ka_8x8_3_969                                   61    166.212     0.000      166.212 <none> (D)  
          m1     ka_4x4_14_772                                  12     23.256     0.000       23.256 <none> (D)  
            m2   ka_2x2_1023_2890                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_796                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2892                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2893                                6      7.524     0.000        7.524 <none> (D)  
        i4       ka_8x8_3                                       61    167.922     0.000      167.922 <none> (D)  
          m1     ka_4x4_14_780                                  12     23.256     0.000       23.256 <none> (D)  
            m2   ka_2x2_1023_2902                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_798                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2904                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2905                                6      7.524     0.000        7.524 <none> (D)  
      i2         ka_16x16_15_48                                206    598.842     0.000      598.842 <none> (D)  
        i1       ka_8x8_63_977                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_800                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2914                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2915                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_801                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2918                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2919                                6      7.524     0.000        7.524 <none> (D)  
        i2       ka_8x8_63_978                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_804                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2930                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2931                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_805                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2934                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2935                                6      7.524     0.000        7.524 <none> (D)  
      i3         ka_16x16_41                                   291    642.960     0.000      642.960 <none> (D)  
        i2       ka_8x8_3_968                                  120    273.600     0.000      273.600 <none> (D)  
          m1     ka_4x4_14_773                                  12     23.256     0.000       23.256 <none> (D)  
            m2   ka_2x2_1023_2978                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_816                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2980                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2981                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_14_789                                  19     31.464     0.000       31.464 <none> (D)  
            m2   ka_2x2_1023_2984                                6      7.524     0.000        7.524 <none> (D)  
            m4   ka_2x2_1023_2985                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_817                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_2986                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2987                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_2988                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_2989                                7      8.208     0.000        8.208 <none> (D)  
