============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 26 2023  04:12:25 pm
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                      Module                  Cell Count  Cell Area  Net Area   Total Area   Wireload  
-------------------------------------------------------------------------------------------------------------------
ModRed                                                         24022  74764.620     0.000    74764.620 <none> (D)  
  genblk1[0].mrs ka_ModRed_sub_CURR_DATA128_NEXT_DATA119        3666  11745.306     0.000    11745.306 <none> (D)  
    qH_mul_T2    ka_wI64_wO128                                  3166   8908.758     0.000     8908.758 <none> (D)  
      i1         ka_32x32                                        527   1551.996     0.000     1551.996 <none> (D)  
        m1_16    ka_16x16                                        144    396.036     0.000      396.036 <none> (D)  
          i2     ka_8x8_3                                         61    166.212     0.000      166.212 <none> (D)  
            m1   ka_4x4_14                                        12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_7167                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_1791                                      26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_20                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_21                                         6      7.524     0.000        7.524 <none> (D)  
          i4     ka_8x8_1                                         61    167.922     0.000      167.922 <none> (D)  
            m1   ka_4x4_12                                        12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_49                                         6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_13                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_52                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_53                                         6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_111                                    206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_447                                       78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_16                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_64                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_65                                         6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_17                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_68                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_69                                         6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_5                                         78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_20                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_80                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_81                                         6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_21                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_84                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_85                                         6      7.524     0.000        7.524 <none> (D)  
        m3_16    ka_16x16_2                                       85    234.954     0.000      234.954 <none> (D)  
          i2     ka_8x8_9                                         61    167.922     0.000      167.922 <none> (D)  
            m1   ka_4x4_36                                        12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_145                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_37                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_148                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_149                                        6      7.524     0.000        7.524 <none> (D)  
      i2         ka_32x32_27                                     517   1573.200     0.000     1573.200 <none> (D)  
        m1_16    ka_16x16_4                                      206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_16                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_64                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_256                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_257                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_65                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_260                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_261                                        6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_17                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_68                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_272                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_273                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_69                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_276                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_277                                        6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_5                                      206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_20                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_80                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_320                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_321                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_81                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_324                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_325                                        6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_21                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_84                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_336                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_337                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_85                                        26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_340                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_341                                        6      7.524     0.000        7.524 <none> (D)  
      i3         ka_32x32_2                                      678   1807.470     0.000     1807.470 <none> (D)  
        m1_16    ka_16x16_8                                       85    234.954     0.000      234.954 <none> (D)  
          i2     ka_8x8_33                                        61    167.922     0.000      167.922 <none> (D)  
            m1   ka_4x4_132                                       12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_529                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_133                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_532                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_533                                        6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_9                                      206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_36                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_144                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_576                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_577                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_145                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_580                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_581                                        6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_37                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_148                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_592                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_593                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_149                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_596                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_597                                        6      7.524     0.000        7.524 <none> (D)  
        m3_16    ka_16x16_10                                     291    642.960     0.000      642.960 <none> (D)  
          i2     ka_8x8_41                                       120    273.600     0.000      273.600 <none> (D)  
            m1   ka_4x4_164                                       12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_657                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_165                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_660                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_661                                        6      7.524     0.000        7.524 <none> (D)  
            m3   ka_4x4_166                                       19     31.464     0.000       31.464 <none> (D)  
              m2 ka_2x2_665                                        6      7.524     0.000        7.524 <none> (D)  
              m4 ka_2x2_667                                        7      8.208     0.000        8.208 <none> (D)  
            m4   ka_4x4_167                                       40     74.214     0.000       74.214 <none> (D)  
              m1 ka_2x2_668                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_669                                        6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_670                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_671                                        7      8.208     0.000        8.208 <none> (D)  
          i4     ka_8x8_43                                       147    302.328     0.000      302.328 <none> (D)  
            m1   ka_4x4_172                                       20     32.148     0.000       32.148 <none> (D)  
              m2 ka_2x2_689                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_691                                        7      8.208     0.000        8.208 <none> (D)  
            m2   ka_4x4_173                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_692                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_693                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_694                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_695                                        7      8.208     0.000        8.208 <none> (D)  
            m3   ka_4x4_174                                       20     32.148     0.000       32.148 <none> (D)  
              m2 ka_2x2_697                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_699                                        7      8.208     0.000        8.208 <none> (D)  
            m4   ka_4x4_175                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_700                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_701                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_702                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_703                                        7      8.208     0.000        8.208 <none> (D)  
      i4         ka_32x32_3                                     1264   3257.208     0.000     3257.208 <none> (D)  
        m1_16    ka_16x16_12                                     206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_48                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_192                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_768                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_769                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_193                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_772                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_773                                        6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_49                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_196                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_784                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_785                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_197                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_788                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_789                                        6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_13                                     206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_52                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_208                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_832                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_833                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_209                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_836                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_837                                        6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_53                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_212                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_848                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_849                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_213                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_852                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_853                                        6      7.524     0.000        7.524 <none> (D)  
        m3_16    ka_16x16_14                                     754   1681.614     0.000     1681.614 <none> (D)  
          i1     ka_8x8_56                                       158    354.654     0.000      354.654 <none> (D)  
            m1   ka_4x4_224                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_896                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_897                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_225                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_900                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_901                                        6      7.524     0.000        7.524 <none> (D)  
            m3   ka_4x4_226                                       40     74.214     0.000       74.214 <none> (D)  
              m1 ka_2x2_904                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_905                                        6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_906                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_907                                        7      8.208     0.000        8.208 <none> (D)  
            m4   ka_4x4_227                                       40     74.214     0.000       74.214 <none> (D)  
              m1 ka_2x2_908                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_909                                        6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_910                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_911                                        7      8.208     0.000        8.208 <none> (D)  
          i2     ka_8x8_57                                       158    354.654     0.000      354.654 <none> (D)  
            m1   ka_4x4_228                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_912                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_913                                        6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_229                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_916                                        6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_917                                        6      7.524     0.000        7.524 <none> (D)  
