============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Aug 04 2023  11:37:13 am
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                     Module                  Cell Count  Cell Area  Net Area   Total Area   Wireload  
------------------------------------------------------------------------------------------------------------------
ModRed                                                         7455  19845.576     0.000    19845.576 <none> (D)  
  genblk1[0].mrs oka_ModRed_sub_CURR_DATA64_NEXT_DATA55        2006   5497.992     0.000     5497.992 <none> (D)  
    qH_mul_T2    oka_wI32_wO64                                 1762   4172.058     0.000     4172.058 <none> (D)  
      m1_32      ka_16x16                                       426    972.990     0.000      972.990 <none> (D)  
        i1       ka_8x8                                          40     74.898     0.000       74.898 <none> (D)  
          m2     ka_4x4_3_1002                                   29     48.906     0.000       48.906 <none> (D)  
            m1   ka_2x2_14_3631                                   1      1.368     0.000        1.368 <none> (D)  
            m2   ka_2x2_1023_2961                                 6      7.524     0.000        7.524 <none> (D)  
        i2       ka_8x8_63_1065                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_844                                  26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2965                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2966                                 6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_845                                  26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_2969                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2970                                 6      7.524     0.000        7.524 <none> (D)  
        i3       ka_8x8_1034                                     76    140.220     0.000      140.220 <none> (D)  
          m2     ka_4x4_3_1001                                   36     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_14_3632                                   1      1.368     0.000        1.368 <none> (D)  
            m2   ka_2x2_1023_2981                                 6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_14_3696                                   2      2.736     0.000        2.736 <none> (D)  
            m4   ka_2x2_1023_2982                                 7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_3_1033                                   29     54.720     0.000       54.720 <none> (D)  
            m1   ka_2x2_14_3600                                   2      2.736     0.000        2.736 <none> (D)  
            m2   ka_2x2_1023_2983                                 7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_14_3664                                   2      2.736     0.000        2.736 <none> (D)  
            m4   ka_2x2_1023_2984                                 7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_63_1066                                 190    390.222     0.000      390.222 <none> (D)  
          m1     ka_4x4_255_848                                  40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_2985                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2986                                 6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_2987                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_2988                                 7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_849                                  40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_2989                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_2990                                 6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_2991                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_2992                                 7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_850                                  42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_2993                                 7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_2994                                 7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_2995                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_2996                                 7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_851                                  42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_2997                                 7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_2998                                 7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_2999                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3000                                 7      8.208     0.000        8.208 <none> (D)  
      m2_32      ka_16x16_46                                    426    972.990     0.000      972.990 <none> (D)  
        i1       ka_8x8_1064                                     40     74.898     0.000       74.898 <none> (D)  
          m2     ka_4x4_3_971                                    29     48.906     0.000       48.906 <none> (D)  
            m1   ka_2x2_14_3662                                   1      1.368     0.000        1.368 <none> (D)  
            m2   ka_2x2_1023_3001                                 6      7.524     0.000        7.524 <none> (D)  
        i2       ka_8x8_63_1067                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_852                                  26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3005                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3006                                 6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_853                                  26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3009                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3010                                 6      7.524     0.000        7.524 <none> (D)  
        i3       ka_8x8_1049                                     76    140.220     0.000      140.220 <none> (D)  
          m2     ka_4x4_3_986                                    36     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_14_3647                                   1      1.368     0.000        1.368 <none> (D)  
            m2   ka_2x2_1023_3021                                 6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_14_3711                                   2      2.736     0.000        2.736 <none> (D)  
            m4   ka_2x2_1023_3022                                 7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_3_1018                                   29     54.720     0.000       54.720 <none> (D)  
            m1   ka_2x2_14_3615                                   2      2.736     0.000        2.736 <none> (D)  
            m2   ka_2x2_1023_3023                                 7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_14_3679                                   2      2.736     0.000        2.736 <none> (D)  
            m4   ka_2x2_1023_3024                                 7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_63_1068                                 190    390.222     0.000      390.222 <none> (D)  
          m1     ka_4x4_255_856                                  40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3025                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3026                                 6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3027                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3028                                 7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_857                                  40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3029                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3030                                 6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3031                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3032                                 7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_858                                  42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3033                                 7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3034                                 7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3035                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3036                                 7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_859                                  42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3037                                 7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3038                                 7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3039                                 7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3040                                 7      8.208     0.000        8.208 <none> (D)  
      m3_32      ka_16x16_45                                    426    972.990     0.000      972.990 <none> (D)  
        i1       ka_8x8_1063                                     40     74.898     0.000       74.898 <none> (D)  
          m2     ka_4x4_3_972                                    29     48.906     0.000       48.906 <none> (D)  
            m1   ka_2x2_14_3661                                   1      1.368     0.000        1.368 <none> (D)  
            m2   ka_2x2_1023_3041                                 6      7.524     0.000        7.524 <none> (D)  
        i2       ka_8x8_63_1069                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_860                                  26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3045                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3046                                 6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_861                                  26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3049                                 6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3050                                 6      7.524     0.000        7.524 <none> (D)  
        i3       ka_8x8_1048                                     76    140.220     0.000      140.220 <none> (D)  
          m2     ka_4x4_3_987                                    36     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_14_3646                                   1      1.368     0.000        1.368 <none> (D)  
