============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Aug 04 2023  12:29:30 pm
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                      Module                   Cell Count  Cell Area  Net Area   Total Area   Wireload  
--------------------------------------------------------------------------------------------------------------------
ModRed                                                          45077 123130.260     0.000   123130.260 <none> (D)  
  genblk1[0].mrs oka_ModRed_sub_CURR_DATA128_NEXT_DATA119        6618  18703.980     0.000    18703.980 <none> (D)  
    qH_mul_T2    oka_wI64_wO128                                  6120  15862.302     0.000    15862.302 <none> (D)  
      m1_32      ka_32x32                                        1509   3831.768     0.000     3831.768 <none> (D)  
        m1_16    ka_16x16                                         200    519.156     0.000      519.156 <none> (D)  
          i1     ka_8x8                                            40     74.898     0.000       74.898 <none> (D)  
            m2   ka_4x4_3                                          29     48.906     0.000       48.906 <none> (D)  
              m1 ka_2x2_14                                          1      1.368     0.000        1.368 <none> (D)  
              m2 ka_2x2_7167                                        6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_447                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_1791                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_16                                          6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_17                                          6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_5                                          26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_20                                          6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_21                                          6      7.524     0.000        7.524 <none> (D)  
          i3     ka_8x8_2                                          40     76.608     0.000       76.608 <none> (D)  
            m2   ka_4x4_9                                          29     48.906     0.000       48.906 <none> (D)  
              m1 ka_2x2_36                                          1      1.368     0.000        1.368 <none> (D)  
              m2 ka_2x2_37                                          6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_111                                     206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_4                                          78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_16                                         26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_64                                          6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_65                                          6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_17                                         26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_68                                          6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_69                                          6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_5                                          78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_20                                         26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_80                                          6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_81                                          6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_21                                         26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_84                                          6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_85                                          6      7.524     0.000        7.524 <none> (D)  
        m3_16    ka_16x16_2                                       428    979.830     0.000      979.830 <none> (D)  
          i1     ka_8x8_8                                          40     76.608     0.000       76.608 <none> (D)  
            m2   ka_4x4_33                                         29     48.906     0.000       48.906 <none> (D)  
              m1 ka_2x2_132                                         1      1.368     0.000        1.368 <none> (D)  
              m2 ka_2x2_133                                         6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_9                                          78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_36                                         26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_144                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_145                                         6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_37                                         26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_148                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_149                                         6      7.524     0.000        7.524 <none> (D)  
          i3     ka_8x8_10                                         76    140.220     0.000      140.220 <none> (D)  
            m2   ka_4x4_41                                         36     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_164                                         1      1.368     0.000        1.368 <none> (D)  
              m2 ka_2x2_165                                         6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_166                                         2      2.736     0.000        2.736 <none> (D)  
              m4 ka_2x2_167                                         7      8.208     0.000        8.208 <none> (D)  
            m4   ka_4x4_43                                         29     54.720     0.000       54.720 <none> (D)  
              m1 ka_2x2_172                                         2      2.736     0.000        2.736 <none> (D)  
              m2 ka_2x2_173                                         7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_174                                         2      2.736     0.000        2.736 <none> (D)  
              m4 ka_2x2_175                                         7      8.208     0.000        8.208 <none> (D)  
          i4     ka_8x8_11                                        190    390.222     0.000      390.222 <none> (D)  
            m1   ka_4x4_44                                         40     74.214     0.000       74.214 <none> (D)  
              m1 ka_2x2_176                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_177                                         6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_178                                         7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_179                                         7      8.208     0.000        8.208 <none> (D)  
            m2   ka_4x4_45                                         40     74.214     0.000       74.214 <none> (D)  
              m1 ka_2x2_180                                         6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_181                                         6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_182                                         7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_183                                         7      8.208     0.000        8.208 <none> (D)  
            m3   ka_4x4_46                                         42     75.582     0.000       75.582 <none> (D)  
